Specimen properties : Thickness,"2.80000",mm
Specimen properties : Width,"13.40000",mm
Specimen properties : Support span,"44.80000",mm

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.00000","-0.00247"
"0.10000","0.00077","-0.00247"
"0.20000","0.00545","0.00102"
"0.30000","0.01795","0.00899"
"0.40000","0.02513","0.01261"
"0.50000","0.03118","0.01651"
"0.60000","0.03783","0.01991"
"0.70000","0.04522","0.02447"
"0.80000","0.05224","0.02859"
"0.90000","0.05886","0.03227"
"1.00000","0.06504","0.03543"
"1.10000","0.07184","0.03920"
"1.20000","0.07896","0.04306"
"1.30000","0.08547","0.04661"
"1.40000","0.09188","0.04992"
"1.50000","0.09823","0.05372"
"1.60000","0.10506","0.05706"
"1.70000","0.11197","0.06105"
"1.80000","0.11864","0.06447"
"1.90000","0.12559","0.06770"
"2.00000","0.13188","0.07074"
"2.10000","0.13848","0.07394"
"2.20000","0.14509","0.07728"
"2.30000","0.15195","0.08053"
"2.40000","0.15892","0.08419"
"2.50000","0.16509","0.08650"
"2.60000","0.17161","0.09012"
"2.70000","0.17879","0.09370"
"2.80000","0.18590","0.09697"
"2.90000","0.19228","0.09985"
"3.00000","0.19826","0.10234"
"3.10000","0.20480","0.10551"
"3.20000","0.21213","0.10887"
"3.30000","0.21899","0.11171"
"3.40000","0.22535","0.11476"
"3.50000","0.23178","0.11745"
"3.60000","0.23857","0.12049"
"3.70000","0.24557","0.12329"
"3.80000","0.25212","0.12586"
"3.90000","0.25847","0.12861"
"4.00000","0.26505","0.13173"
"4.10000","0.27191","0.13434"
"4.20000","0.27868","0.13704"
"4.30000","0.28544","0.14008"
"4.40000","0.29238","0.14238"
"4.50000","0.29864","0.14506"
"4.60000","0.30501","0.14747"
"4.70000","0.31161","0.15001"
"4.80000","0.31881","0.15273"
"4.90000","0.32556","0.15532"
"5.00000","0.33179","0.15705"
"5.10000","0.33835","0.15983"
"5.20000","0.34552","0.16246"
"5.30000","0.35251","0.16543"
"5.40000","0.35879","0.16702"
"5.50000","0.36484","0.16896"
"5.60000","0.37158","0.17127"
"5.70000","0.37868","0.17395"
"5.80000","0.38553","0.17584"
"5.90000","0.39196","0.17822"
"6.00000","0.39853","0.18013"
"6.10000","0.40521","0.18232"
"6.20000","0.41204","0.18411"
"6.30000","0.41865","0.18694"
"6.40000","0.42524","0.18842"
"6.50000","0.43178","0.19047"
"6.60000","0.43842","0.19274"
"6.70000","0.44517","0.19442"
"6.80000","0.45236","0.19743"
"6.90000","0.45897","0.19903"
"7.00000","0.46536","0.20084"
"7.10000","0.47160","0.20236"
"7.20000","0.47824","0.20458"
"7.30000","0.48563","0.20651"
"7.40000","0.49216","0.20834"
"7.50000","0.49854","0.21031"
"7.60000","0.50508","0.21170"
"7.70000","0.51218","0.21377"
"7.80000","0.51908","0.21583"
"7.90000","0.52530","0.21728"
"8.00000","0.53154","0.21865"
"8.10000","0.53835","0.22122"
"8.20000","0.54546","0.22296"
"8.30000","0.55211","0.22443"
"8.40000","0.55876","0.22601"
"8.50000","0.56540","0.22797"
"8.60000","0.57198","0.22969"
"8.70000","0.57852","0.23149"
"8.80000","0.58510","0.23320"
"8.90000","0.59204","0.23496"
"9.00000","0.59854","0.23678"
"9.10000","0.60518","0.23825"
"9.20000","0.61192","0.24020"
"9.30000","0.61900","0.24190"
"9.40000","0.62568","0.24342"
"9.50000","0.63187","0.24481"
"9.60000","0.63818","0.24647"
"9.70000","0.64534","0.24853"
"9.80000","0.65224","0.24999"
"9.90000","0.65878","0.25148"
"10.00000","0.66510","0.25270"
"10.10000","0.67188","0.25475"
"10.20000","0.67898","0.25675"
"10.30000","0.68542","0.25772"
"10.40000","0.69174","0.25954"
"10.50000","0.69835","0.26099"
"10.60000","0.70513","0.26269"
"10.70000","0.71199","0.26436"
"10.80000","0.71869","0.26605"
"10.90000","0.72555","0.26772"
"11.00000","0.73199","0.26885"
"11.10000","0.73846","0.27053"
"11.20000","0.74512","0.27237"
"11.30000","0.75192","0.27377"
"11.40000","0.75881","0.27527"
"11.50000","0.76528","0.27668"
"11.60000","0.77158","0.27792"
"11.70000","0.77880","0.27977"
"11.80000","0.78576","0.28144"
"11.90000","0.79223","0.28276"
"12.00000","0.79830","0.28395"
"12.10000","0.80478","0.28546"
"12.20000","0.81204","0.28713"
"12.30000","0.81885","0.28889"
"12.40000","0.82535","0.28990"
"12.50000","0.83180","0.29168"
"12.60000","0.83857","0.29324"
"12.70000","0.84561","0.29498"
"12.80000","0.85200","0.29617"
"12.90000","0.85846","0.29765"
"13.00000","0.86512","0.29901"
"13.10000","0.87193","0.30029"
"13.20000","0.87870","0.30184"
"13.30000","0.88538","0.30329"
"13.40000","0.89236","0.30507"
"13.50000","0.89867","0.30579"
"13.60000","0.90503","0.30724"
"13.70000","0.91178","0.30898"
"13.80000","0.91880","0.31046"
"13.90000","0.92542","0.31218"
"14.00000","0.93187","0.31294"
"14.10000","0.93841","0.31446"
"14.20000","0.94562","0.31632"
"14.30000","0.95246","0.31756"
"14.40000","0.95876","0.31851"
"14.50000","0.96481","0.31983"
"14.60000","0.97159","0.32132"
"14.70000","0.97877","0.32290"
"14.80000","0.98553","0.32419"
"14.90000","0.99192","0.32571"
"15.00000","0.99854","0.32704"
"15.10000","1.00527","0.32824"
"15.20000","1.01210","0.32946"
"15.30000","1.01849","0.33095"
"15.40000","1.02526","0.33225"
"15.50000","1.03185","0.33346"
"15.60000","1.03845","0.33436"
"15.70000","1.04523","0.33633"
"15.80000","1.05225","0.33749"
"15.90000","1.05898","0.33870"
"16.00000","1.06535","0.33950"
"16.10000","1.07157","0.34063"
"16.20000","1.07832","0.34194"
"16.30000","1.08556","0.34358"
"16.40000","1.09218","0.34482"
"16.50000","1.09834","0.34550"
"16.60000","1.10495","0.34704"
"16.70000","1.11218","0.34871"
"16.80000","1.11908","0.34957"
"16.90000","1.12523","0.35093"
"17.00000","1.13151","0.35173"
"17.10000","1.13831","0.35340"
"17.20000","1.14548","0.35470"
"17.30000","1.15218","0.35590"
"17.40000","1.15870","0.35695"
"17.50000","1.16531","0.35825"
"17.60000","1.17198","0.35965"
"17.70000","1.17871","0.36048"
"17.80000","1.18527","0.36194"
"17.90000","1.19210","0.36276"
"18.00000","1.19850","0.36416"
"18.10000","1.20514","0.36499"
"18.20000","1.21196","0.36637"
"18.30000","1.21905","0.36812"
"18.40000","1.22566","0.36857"
"18.50000","1.23172","0.36983"
"18.60000","1.23814","0.37067"
"18.70000","1.24537","0.37236"
"18.80000","1.25242","0.37334"
"18.90000","1.25876","0.37460"
"19.00000","1.26500","0.37559"
"19.10000","1.27186","0.37701"
"19.20000","1.27894","0.37830"
"19.30000","1.28544","0.37924"
"19.40000","1.29182","0.37964"
"19.50000","1.29821","0.38069"
"19.60000","1.30515","0.38202"
"19.70000","1.31196","0.38299"
"19.80000","1.31869","0.38491"
"19.90000","1.32570","0.38549"
"20.00000","1.33187","0.38656"
"20.10000","1.33849","0.38775"
"20.20000","1.34511","0.38850"
"20.30000","1.35190","0.38982"
"20.40000","1.35888","0.39079"
"20.50000","1.36513","0.39182"
"20.60000","1.37164","0.39323"
"20.70000","1.37869","0.39441"
"20.80000","1.38585","0.39572"
"20.90000","1.39227","0.39624"
"21.00000","1.39833","0.39722"
"21.10000","1.40488","0.39856"
"21.20000","1.41207","0.39928"
"21.30000","1.41891","0.40104"
"21.40000","1.42542","0.40177"
"21.50000","1.43177","0.40287"
"21.60000","1.43856","0.40397"
"21.70000","1.44556","0.40537"
"21.80000","1.45205","0.40582"
"21.90000","1.45844","0.40708"
"22.00000","1.46510","0.40823"
"22.10000","1.47181","0.40962"
"22.20000","1.47868","0.41082"
"22.30000","1.48549","0.41219"
"22.40000","1.49239","0.41286"
"22.50000","1.49872","0.41390"
"22.60000","1.50501","0.41445"
"22.70000","1.51170","0.41654"
"22.80000","1.51881","0.41714"
"22.90000","1.52546","0.41803"
"23.00000","1.53180","0.41938"
"23.10000","1.53839","0.41977"
"23.20000","1.54556","0.42143"
"23.30000","1.55248","0.42281"
"23.40000","1.55881","0.42321"
"23.50000","1.56483","0.42415"
"23.60000","1.57150","0.42470"
