Specimen properties : Thickness,"2.70000",mm
Specimen properties : Width,"10.50000",mm
Specimen properties : Support span,"43.20000",mm

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.00000","-0.00136"
"0.10000","0.00082","-0.00075"
"0.20000","0.00581","0.00324"
"0.30000","0.01702","0.01093"
"0.40000","0.02482","0.01558"
"0.50000","0.03161","0.02006"
"0.60000","0.03855","0.02500"
"0.70000","0.04519","0.02820"
"0.80000","0.05190","0.03276"
"0.90000","0.05849","0.03673"
"1.00000","0.06520","0.04036"
"1.10000","0.07179","0.04463"
"1.20000","0.07851","0.04875"
"1.30000","0.08522","0.05241"
"1.40000","0.09219","0.05650"
"1.50000","0.09893","0.06062"
"1.60000","0.10530","0.06369"
"1.70000","0.11157","0.06780"
"1.80000","0.11831","0.07114"
"1.90000","0.12548","0.07549"
"2.00000","0.13219","0.07866"
"2.10000","0.13852","0.08251"
"2.20000","0.14513","0.08651"
"2.30000","0.15222","0.08999"
"2.40000","0.15893","0.09372"
"2.50000","0.16525","0.09702"
"2.60000","0.17149","0.10039"
"2.70000","0.17843","0.10433"
"2.80000","0.18551","0.10774"
"2.90000","0.19205","0.11143"
"3.00000","0.19874","0.11348"
"3.10000","0.20531","0.11551"
"3.20000","0.21200","0.11619"
"3.30000","0.21862","0.11813"
"3.40000","0.22508","0.11965"
"3.50000","0.23205","0.12043"
"3.60000","0.23849","0.12425"
"3.70000","0.24514","0.12719"
"3.80000","0.25197","0.13081"
"3.90000","0.25910","0.13440"
"4.00000","0.26575","0.13738"
"4.10000","0.27175","0.14013"
"4.20000","0.27817","0.14363"
"4.30000","0.28533","0.14718"
"4.40000","0.29228","0.15020"
"4.50000","0.29883","0.15352"
"4.60000","0.30508","0.15613"
"4.70000","0.31187","0.16000"
"4.80000","0.31889","0.16324"
"4.90000","0.32542","0.16659"
"5.00000","0.33186","0.16955"
"5.10000","0.33828","0.17273"
"5.20000","0.34515","0.17660"
"5.30000","0.35195","0.18006"
"5.40000","0.35854","0.18274"
"5.50000","0.36557","0.18631"
"5.60000","0.37190","0.18933"
"5.70000","0.37852","0.19247"
"5.80000","0.38514","0.19556"
"5.90000","0.39189","0.19913"
"6.00000","0.39884","0.20219"
"6.10000","0.40510","0.20503"
"6.20000","0.41165","0.20775"
"6.30000","0.41879","0.21189"
"6.40000","0.42595","0.21537"
"6.50000","0.43226","0.21784"
"6.60000","0.43824","0.22017"
"6.70000","0.44479","0.22390"
"6.80000","0.45205","0.22700"
"6.90000","0.45898","0.23042"
"7.00000","0.46541","0.23356"
"7.10000","0.47177","0.23637"
"7.20000","0.47856","0.23940"
"7.30000","0.48562","0.24214"
"7.40000","0.49204","0.24506"
"7.50000","0.49850","0.24815"
"7.60000","0.50509","0.25134"
"7.70000","0.51187","0.25414"
"7.80000","0.51869","0.25709"
"7.90000","0.52550","0.26050"
"8.00000","0.53238","0.26351"
"8.10000","0.53860","0.26615"
"8.20000","0.54503","0.26887"
"8.30000","0.55167","0.27195"
"8.40000","0.55883","0.27502"
"8.50000","0.56556","0.27797"
"8.60000","0.57179","0.28071"
"8.70000","0.57840","0.28376"
"8.80000","0.58561","0.28671"
"8.90000","0.59244","0.28975"
"9.00000","0.59872","0.29256"
"9.10000","0.60487","0.29545"
"9.20000","0.61162","0.29788"
"9.30000","0.61876","0.30117"
"9.40000","0.62556","0.30446"
"9.50000","0.63198","0.30700"
"9.60000","0.63854","0.30984"
"9.70000","0.64519","0.31269"
"9.80000","0.65200","0.31594"
"9.90000","0.65853","0.31819"
"10.00000","0.66523","0.32129"
"10.10000","0.67177","0.32435"
"10.20000","0.67847","0.32732"
"10.30000","0.68527","0.32965"
"10.40000","0.69226","0.33330"
"10.50000","0.69894","0.33614"
"10.60000","0.70528","0.33864"
"10.70000","0.71161","0.34108"
"10.80000","0.71829","0.34427"
"10.90000","0.72564","0.34766"
"11.00000","0.73220","0.35036"
"11.10000","0.73850","0.35263"
"11.20000","0.74503","0.35519"
"11.30000","0.75223","0.35881"
"11.40000","0.75900","0.36153"
"11.50000","0.76527","0.36388"
"11.60000","0.77150","0.36631"
"11.70000","0.77835","0.36933"
"11.80000","0.78556","0.37263"
"11.90000","0.79210","0.37521"
"12.00000","0.79867","0.37768"
"12.10000","0.80538","0.38023"
"12.20000","0.81198","0.38325"
"12.30000","0.81860","0.38625"
"12.40000","0.82514","0.38819"
"12.50000","0.83202","0.39105"
"12.60000","0.83860","0.39402"
"12.70000","0.84509","0.39638"
"12.80000","0.85194","0.39944"
"12.90000","0.85899","0.40226"
"13.00000","0.86563","0.40480"
"13.10000","0.87184","0.40723"
"13.20000","0.87815","0.40974"
"13.30000","0.88539","0.41331"
"13.40000","0.89232","0.41570"
"13.50000","0.89872","0.41814"
"13.60000","0.90508","0.42025"
"13.70000","0.91191","0.42338"
"13.80000","0.91898","0.42610"
"13.90000","0.92537","0.42860"
"14.00000","0.93172","0.43105"
"14.10000","0.93840","0.43333"
"14.20000","0.94521","0.43635"
"14.30000","0.95198","0.43884"
"14.40000","0.95858","0.44173"
"14.50000","0.96552","0.44432"
"14.60000","0.97203","0.44675"
"14.70000","0.97851","0.44934"
"14.80000","0.98517","0.45190"
"14.90000","0.99189","0.45450"
"15.00000","0.99880","0.45717"
"15.10000","1.00525","0.45943"
"15.20000","1.01154","0.46215"
"15.30000","1.01879","0.46477"
"15.40000","1.02581","0.46744"
"15.50000","1.03219","0.46943"
"15.60000","1.03827","0.47161"
"15.70000","1.04484","0.47437"
"15.80000","1.05207","0.47744"
"15.90000","1.05887","0.48002"
"16.00000","1.06534","0.48166"
"16.10000","1.07173","0.48430"
"16.20000","1.07866","0.48718"
"16.30000","1.08560","0.48993"
"16.40000","1.09191","0.49179"
"16.50000","1.09843","0.49410"
"16.60000","1.10514","0.49669"
"16.70000","1.11184","0.49909"
"16.80000","1.11871","0.50140"
"16.90000","1.12546","0.50381"
"17.00000","1.13243","0.50639"
"17.10000","1.13865","0.50864"
"17.20000","1.14501","0.51115"
"17.30000","1.15173","0.51310"
"17.40000","1.15874","0.51545"
"17.50000","1.16551","0.51804"
"17.60000","1.17190","0.51996"
"17.70000","1.17840","0.52280"
"17.80000","1.18560","0.52539"
"17.90000","1.19246","0.52750"
"18.00000","1.19874","0.52959"
"18.10000","1.20485","0.53156"
"18.20000","1.21164","0.53408"
"18.30000","1.21869","0.53659"
"18.40000","1.22550","0.53946"
"18.50000","1.23195","0.54081"
"18.60000","1.23863","0.54311"
"18.70000","1.24523","0.54558"
"18.80000","1.25208","0.54797"
"18.90000","1.25853","0.54987"
"19.00000","1.26529","0.55212"
"19.10000","1.27182","0.55446"
"19.20000","1.27845","0.55649"
"19.30000","1.28525","0.55889"
"19.40000","1.29229","0.56116"
"19.50000","1.29890","0.56332"
"19.60000","1.30529","0.56520"
"19.70000","1.31158","0.56735"
"19.80000","1.31831","0.56966"
"19.90000","1.32555","0.57198"
"20.00000","1.33214","0.57397"
"20.10000","1.33840","0.57594"
"20.20000","1.34507","0.57819"
"20.30000","1.35231","0.58075"
"20.40000","1.35902","0.58231"
"20.50000","1.36517","0.58398"
"20.60000","1.37146","0.58568"
"20.70000","1.37828","0.58821"
"20.80000","1.38546","0.59058"
"20.90000","1.39209","0.59247"
"21.00000","1.39875","0.59496"
"21.10000","1.40535","0.59642"
"21.20000","1.41195","0.59837"
"21.30000","1.41865","0.60056"
"21.40000","1.42510","0.60212"
"21.50000","1.43208","0.60460"
"21.60000","1.43851","0.60614"
"21.70000","1.44514","0.60812"
"21.80000","1.45195","0.60996"
"21.90000","1.45914","0.61207"
"22.00000","1.46568","0.61380"
"22.10000","1.47169","0.61539"
"22.20000","1.47819","0.61659"
"22.30000","1.48528","0.61900"
"22.40000","1.49229","0.62126"
"22.50000","1.49877","0.62230"
"22.60000","1.50503","0.62343"
"22.70000","1.51182","0.62562"
"22.80000","1.51893","0.62769"
"22.90000","1.52551","0.62913"
"23.00000","1.53182","0.63005"
"23.10000","1.53815","0.63181"
"23.20000","1.54513","0.63407"
"23.30000","1.55205","0.63579"
"23.40000","1.55872","0.63695"
"23.50000","1.56570","0.63911"
"23.60000","1.57191","0.64000"
"23.70000","1.57846","0.64173"
"23.80000","1.58510","0.64324"
"23.90000","1.59191","0.64502"
"24.00000","1.59890","0.64645"
"24.10000","1.60508","0.64788"
"24.20000","1.61168","0.64959"
"24.30000","1.61873","0.65078"
"24.40000","1.62597","0.65262"
"24.50000","1.63233","0.65377"
"24.60000","1.63829","0.65470"
"24.70000","1.64477","0.65608"
"24.80000","1.65211","0.65787"
"24.90000","1.65900","0.65928"
"25.00000","1.66539","0.66038"
"25.10000","1.67176","0.66167"
"25.20000","1.67852","0.66333"
"25.30000","1.68559","0.66472"
"25.40000","1.69202","0.66608"
"25.50000","1.69846","0.66720"
"25.60000","1.70506","0.66837"
"25.70000","1.71186","0.66987"
"25.80000","1.71875","0.67137"
"25.90000","1.72550","0.67258"
"26.00000","1.73239","0.67390"
"26.10000","1.73869","0.67463"
"26.20000","1.74498","0.67597"
"26.30000","1.75157","0.67712"
"26.40000","1.75887","0.67894"
"26.50000","1.76548","0.68022"
"26.60000","1.77181","0.68073"
"26.70000","1.77833","0.68200"
"26.80000","1.78564","0.68388"
"26.90000","1.79255","0.68495"
"27.00000","1.79878","0.68547"
"27.10000","1.80479","0.68645"
"27.20000","1.81146","0.68799"
"27.30000","1.81877","0.68928"
"27.40000","1.82564","0.69072"
"27.50000","1.83197","0.69126"
"27.60000","1.83851","0.69236"
"27.70000","1.84523","0.69355"
"27.80000","1.85205","0.69470"
"27.90000","1.85862","0.69545"
"28.00000","1.86522","0.69702"
"28.10000","1.87162","0.69773"
"28.20000","1.87850","0.69884"
"28.30000","1.88523","0.69991"
"28.40000","1.89237","0.70128"
"28.50000","1.89900","0.70212"
"28.60000","1.90517","0.70294"
"28.70000","1.91151","0.70381"
"28.80000","1.91829","0.70500"
"28.90000","1.92562","0.70603"
"29.00000","1.93229","0.70774"
"29.10000","1.93843","0.70806"
"29.20000","1.94507","0.70918"
"29.30000","1.95230","0.71095"
"29.40000","1.95898","0.71166"
"29.50000","1.96528","0.71207"
"29.60000","1.97143","0.71299"
"29.70000","1.97844","0.71430"
"29.80000","1.98551","0.71547"
"29.90000","1.99216","0.71607"
"30.00000","1.99874","0.71680"
"30.10000","2.00519","0.71771"
"30.20000","2.01189","0.71897"
"30.30000","2.01858","0.72023"
"30.40000","2.02513","0.72080"
"30.50000","2.03217","0.72205"
"30.60000","2.03848","0.72263"
"30.70000","2.04502","0.72329"
"30.80000","2.05193","0.72473"
"30.90000","2.05919","0.72626"
"31.00000","2.06576","0.72668"
"31.10000","2.07172","0.72722"
"31.20000","2.07816","0.72825"
"31.30000","2.08543","0.72957"
"31.40000","2.09229","0.73068"
"31.50000","2.09878","0.73131"
"31.60000","2.10500","0.73211"
"31.70000","2.11187","0.73313"
"31.80000","2.11895","0.73441"
"31.90000","2.12551","0.73508"
"32.00000","2.13181","0.73571"
"32.10000","2.13822","0.73643"
"32.20000","2.14504","0.73729"
"32.30000","2.15201","0.73888"
"32.40000","2.15876","0.73968"
"32.50000","2.16558","0.74046"
"32.60000","2.17193","0.74123"
"32.70000","2.17840","0.74205"
"32.80000","2.18507","0.74293"
